ciudad;departamento;entregas ;devoluciones ;oficina;dirección;hechos violentos;% pm
MEDELLÍN;ANTIOQUIA;71;8;0;79;0;40,4
ABEJORRAL;ANTIOQUIA;0;0;0;0;0;40,4
ABRIAQUÍ;ANTIOQUIA;0;0;0;0;0;40,4
ALEJANDRÍA;ANTIOQUIA;0;0;0;0;0;40,4
AMAGÁ;ANTIOQUIA;1;0;1;0;0;40,4
AMALFI;ANTIOQUIA;0;0;0;0;0;40,4
ANDES;ANTIOQUIA;0;0;0;0;0;40,4
ANGELÓPOLIS;ANTIOQUIA;0;0;0;0;0;40,4
ANGOSTURA;ANTIOQUIA;0;0;0;0;4;40,4
ANORÍ;ANTIOQUIA;0;0;0;0;0;40,4
SANTA FÉ DE ANTIOQUIA;ANTIOQUIA;1;0;1;0;0;40,4
ANZÁ;ANTIOQUIA;0;0;0;0;0;40,4
APARTADÓ;ANTIOQUIA;3;0;2;1;0;40,4
ARBOLETES;ANTIOQUIA;1;0;1;0;0;40,4
ARGELIA;ANTIOQUIA;0;0;0;0;261;40,4
ARMENIA;ANTIOQUIA;2;0;0;2;0;40,4
BARBOSA;ANTIOQUIA;3;0;1;2;4;40,4
BELMIRA;ANTIOQUIA;0;0;0;0;0;40,4
BELLO;ANTIOQUIA;15;3;0;18;15;40,4
BETANIA;ANTIOQUIA;0;0;0;0;3;40,4
BETULIA;ANTIOQUIA;0;0;0;0;10;40,4
CIUDAD BOLÍVAR;ANTIOQUIA;1;0;0;1;24;40,4
BRICEÑO;ANTIOQUIA;0;0;0;0;288;40,4
BURITICÁ;ANTIOQUIA;0;0;0;0;4;40,4
CÁCERES;ANTIOQUIA;0;0;0;0;47;40,4
CAICEDO;ANTIOQUIA;2;0;2;0;1;40,4
CALDAS;ANTIOQUIA;2;0;1;1;2;40,4
CAMPAMENTO;ANTIOQUIA;0;0;0;0;17;40,4
CAÑASGORDAS;ANTIOQUIA;0;0;0;0;0;40,4
CARACOLÍ;ANTIOQUIA;0;0;0;0;0;40,4
CARAMANTA;ANTIOQUIA;0;0;0;0;0;40,4
CAREPA;ANTIOQUIA;1;0;0;1;10;40,4
EL CARMEN DE VIBORAL;ANTIOQUIA;1;0;1;0;0;40,4
CAROLINA;ANTIOQUIA;0;0;0;0;0;40,4
CAUCASIA;ANTIOQUIA;6;0;5;1;81;40,4
CHIGORODÓ;ANTIOQUIA;2;0;0;2;2;40,4
CISNEROS;ANTIOQUIA;1;0;1;0;0;40,4
COCORNÁ;ANTIOQUIA;0;0;0;0;0;40,4
CONCEPCIÓN;ANTIOQUIA;0;0;0;0;0;40,4
CONCORDIA;ANTIOQUIA;2;0;2;0;0;40,4
COPACABANA;ANTIOQUIA;0;0;0;0;0;40,4
DABEIBA;ANTIOQUIA;0;0;0;0;0;40,4
DONMATÍAS;ANTIOQUIA;0;0;0;0;0;40,4
EBÉJICO;ANTIOQUIA;0;0;0;0;0;40,4
EL BAGRE;ANTIOQUIA;1;0;1;0;0;40,4
ENTRERRÍOS;ANTIOQUIA;0;0;0;0;0;40,4
ENVIGADO;ANTIOQUIA;9;0;0;9;0;40,4
FREDONIA;ANTIOQUIA;0;0;0;0;0;40,4
FRONTINO;ANTIOQUIA;0;0;0;0;0;40,4
GIRALDO;ANTIOQUIA;0;0;0;0;2;40,4
GIRARDOTA;ANTIOQUIA;0;0;0;0;0;40,4
GÓMEZ PLATA;ANTIOQUIA;0;0;0;0;0;40,4
GRANADA;ANTIOQUIA;3;1;3;1;2;40,4
GUADALUPE;ANTIOQUIA;1;0;1;0;30;40,4
GUARNE;ANTIOQUIA;3;0;2;1;0;40,4
GUATAPÉ;ANTIOQUIA;1;1;2;0;0;40,4
HELICONIA;ANTIOQUIA;0;0;0;0;0;40,4
HISPANIA;ANTIOQUIA;0;0;0;0;10;40,4
ITAGÜÍ;ANTIOQUIA;4;0;0;4;6;40,4
ITUANGO;ANTIOQUIA;2;0;2;0;0;40,4
JARDÍN;ANTIOQUIA;0;0;0;0;0;40,4
JERICÓ;ANTIOQUIA;0;0;0;0;0;40,4
LA CEJA;ANTIOQUIA;2;0;0;2;0;40,4
LA ESTRELLA;ANTIOQUIA;3;0;0;3;0;40,4
LA PINTADA;ANTIOQUIA;0;0;0;0;0;40,4
LA UNIÓN;ANTIOQUIA;0;0;0;0;3;40,4
LIBORINA;ANTIOQUIA;0;0;0;0;5;40,4
